date_GMT,attendance,home_team_name,away_team_name,home_team_goal_count,away_team_goal_count,stadium_name
Aug 10 2018 - 7:00pm,74439,Manchester United,Leicester City,2,1,Old Trafford (Manchester)
Aug 11 2018 - 11:30am,51749,Newcastle United,Tottenham Hotspur,1,2,St. James' Park (Newcastle upon Tyne)
Aug 11 2018 - 2:00pm,10353,AFC Bournemouth,Cardiff City,2,0,Vitality Stadium (Bournemouth- Dorset)
Aug 11 2018 - 2:00pm,24821,Fulham,Crystal Palace,0,2,Craven Cottage (London)
Aug 11 2018 - 2:00pm,24121,Huddersfield Town,Chelsea,0,3,John Smith's Stadium (Huddersfield- West Yorkshire)
Aug 11 2018 - 2:00pm,20051,Watford,Brighton & Hove Albion,2,0,Vicarage Road (Watford)
Aug 11 2018 - 4:30pm,31231,Wolverhampton Wanderers,Everton,2,2,Molineux Stadium (Wolverhampton- West Midlands)
Aug 12 2018 - 12:30pm,53235,Liverpool,West Ham United,4,0,Anfield (Liverpool)
Aug 12 2018 - 12:30pm,30784,Southampton,Burnley,0,0,St. Mary's Stadium (Southampton- Hampshire)
Aug 12 2018 - 3:00pm,59934,Arsenal,Manchester City,0,2,Emirates Stadium (London)
Aug 18 2018 - 11:30am,30720,Cardiff City,Newcastle United,0,0,Cardiff City Stadium (Cardiff (Caerdydd))
Aug 18 2018 - 2:00pm,38601,Everton,Southampton,2,1,Goodison Park (Liverpool)
Aug 18 2018 - 2:00pm,32043,Leicester City,Wolverhampton Wanderers,2,0,King Power Stadium (Leicester- Leicestershire)
Aug 18 2018 - 2:00pm,58297,Tottenham Hotspur,Fulham,3,1,Wembley Stadium (London)
Aug 18 2018 - 2:00pm,56888,West Ham United,AFC Bournemouth,1,2,London Stadium (London)
Aug 18 2018 - 4:30pm,40491,Chelsea,Arsenal,3,2,Stamford Bridge (London)
Aug 19 2018 - 12:30pm,18822,Burnley,Watford,1,3,Turf Moor (Burnley)
Aug 19 2018 - 12:30pm,54021,Manchester City,Huddersfield Town,6,1,Etihad Stadium (Manchester)
Aug 19 2018 - 3:00pm,30592,Brighton & Hove Albion,Manchester United,3,2,The American Express Community Stadium (Falmer- East Sussex)
Aug 20 2018 - 7:00pm,25750,Crystal Palace,Liverpool,0,2,Selhurst Park (London)
Aug 25 2018 - 11:30am,31222,Wolverhampton Wanderers,Manchester City,1,1,Molineux Stadium (Wolverhampton- West Midlands)
Aug 25 2018 - 2:00pm,10654,AFC Bournemouth,Everton,2,2,Vitality Stadium (Bournemouth- Dorset)
Aug 25 2018 - 2:00pm,59830,Arsenal,West Ham United,3,1,Emirates Stadium (London)
Aug 25 2018 - 2:00pm,21193,Huddersfield Town,Cardiff City,0,0,John Smith's Stadium (Huddersfield- West Yorkshire)
Aug 25 2018 - 2:00pm,29925,Southampton,Leicester City,1,2,St. Mary's Stadium (Southampton- Hampshire)
Aug 25 2018 - 4:30pm,53294,Liverpool,Brighton & Hove Albion,1,0,Anfield (Liverpool)
Aug 26 2018 - 12:30pm,20014,Watford,Crystal Palace,2,1,Vicarage Road (Watford)
Aug 26 2018 - 3:00pm,23438,Fulham,Burnley,4,2,Craven Cottage (London)
Aug 26 2018 - 3:00pm,51791,Newcastle United,Chelsea,1,2,St. James' Park (Newcastle upon Tyne)
Aug 27 2018 - 7:00pm,74400,Manchester United,Tottenham Hotspur,0,3,Old Trafford (Manchester)
Sep 01 2018 - 11:30am,32149,Leicester City,Liverpool,1,2,King Power Stadium (Leicester- Leicestershire)
Sep 01 2018 - 2:00pm,30526,Brighton & Hove Albion,Fulham,2,2,The American Express Community Stadium (Falmer- East Sussex)
Sep 01 2018 - 2:00pm,40178,Chelsea,AFC Bournemouth,2,0,Stamford Bridge (London)
Sep 01 2018 - 2:00pm,25495,Crystal Palace,Southampton,0,2,Selhurst Park (London)
Sep 01 2018 - 2:00pm,38767,Everton,Huddersfield Town,1,1,Goodison Park (Liverpool)
Sep 01 2018 - 2:00pm,59947,West Ham United,Wolverhampton Wanderers,0,1,London Stadium (London)
Sep 01 2018 - 4:30pm,53946,Manchester City,Newcastle United,2,1,Etihad Stadium (Manchester)
Sep 02 2018 - 12:30pm,32316,Cardiff City,Arsenal,2,3,Cardiff City Stadium (Cardiff (Caerdydd))
Sep 02 2018 - 3:00pm,21525,Burnley,Manchester United,0,2,Turf Moor (Burnley)
Sep 02 2018 - 3:00pm,20141,Watford,Tottenham Hotspur,2,1,Vicarage Road (Watford)
Sep 15 2018 - 11:30am,80188,Tottenham Hotspur,Liverpool,1,2,Wembley Stadium (London)
Sep 15 2018 - 2:00pm,10543,AFC Bournemouth,Leicester City,4,2,Vitality Stadium (Bournemouth- Dorset)
Sep 15 2018 - 2:00pm,40499,Chelsea,Cardiff City,4,1,Stamford Bridge (London)
Sep 15 2018 - 2:00pm,23696,Huddersfield Town,Crystal Palace,0,1,John Smith's Stadium (Huddersfield- West Yorkshire)
Sep 15 2018 - 2:00pm,53307,Manchester City,Fulham,3,0,Etihad Stadium (Manchester)
Sep 15 2018 - 2:00pm,52165,Newcastle United,Arsenal,1,2,St. James' Park (Newcastle upon Tyne)
Sep 15 2018 - 4:30pm,20537,Watford,Manchester United,1,2,Vicarage Road (Watford)
Sep 16 2018 - 12:30pm,30406,Wolverhampton Wanderers,Burnley,1,0,Molineux Stadium (Wolverhampton- West Midlands)
Sep 16 2018 - 3:00pm,39161,Everton,West Ham United,1,3,Goodison Park (Liverpool)
Sep 17 2018 - 7:00pm,27742,Southampton,Brighton & Hove Albion,2,2,St. Mary's Stadium (Southampton- Hampshire)
Sep 22 2018 - 11:30am,23418,Fulham,Watford,1,1,Craven Cottage (London)
Sep 22 2018 - 2:00pm,18636,Burnley,AFC Bournemouth,4,0,Turf Moor (Burnley)
Sep 22 2018 - 2:00pm,32321,Cardiff City,Manchester City,0,5,Cardiff City Stadium (Cardiff (Caerdydd))
Sep 22 2018 - 2:00pm,25679,Crystal Palace,Newcastle United,0,0,Selhurst Park (London)
Sep 22 2018 - 2:00pm,31676,Leicester City,Huddersfield Town,3,1,King Power Stadium (Leicester- Leicestershire)
Sep 22 2018 - 2:00pm,50965,Liverpool,Southampton,3,0,Anfield (Liverpool)
Sep 22 2018 - 2:00pm,74489,Manchester United,Wolverhampton Wanderers,1,1,Old Trafford (Manchester)
Sep 22 2018 - 4:30pm,30531,Brighton & Hove Albion,Tottenham Hotspur,1,2,The American Express Community Stadium (Falmer- East Sussex)
Sep 23 2018 - 12:30pm,56875,West Ham United,Chelsea,0,0,London Stadium (London)
Sep 23 2018 - 3:00pm,59964,Arsenal,Everton,2,0,Emirates Stadium (London)
Sep 29 2018 - 11:30am,56938,West Ham United,Manchester United,3,1,London Stadium (London)
Sep 29 2018 - 2:00pm,60019,Arsenal,Watford,2,0,Emirates Stadium (London)
Sep 29 2018 - 2:00pm,38788,Everton,Fulham,3,0,Goodison Park (Liverpool)
Sep 29 2018 - 2:00pm,23885,Huddersfield Town,Tottenham Hotspur,0,2,John Smith's Stadium (Huddersfield- West Yorkshire)
Sep 29 2018 - 2:00pm,54152,Manchester City,Brighton & Hove Albion,2,0,Etihad Stadium (Manchester)
Sep 29 2018 - 2:00pm,51523,Newcastle United,Leicester City,0,2,St. James' Park (Newcastle upon Tyne)
Sep 29 2018 - 2:00pm,31147,Wolverhampton Wanderers,Southampton,2,0,Molineux Stadium (Wolverhampton- West Midlands)
Sep 29 2018 - 4:30pm,40625,Chelsea,Liverpool,1,1,Stamford Bridge (London)
Sep 30 2018 - 3:00pm,30411,Cardiff City,Burnley,1,2,Cardiff City Stadium (Cardiff (Caerdydd))
Oct 01 2018 - 7:00pm,10199,AFC Bournemouth,Crystal Palace,2,1,Vitality Stadium (Bournemouth- Dorset)
Oct 05 2018 - 7:00pm,30544,Brighton & Hove Albion,West Ham United,1,0,The American Express Community Stadium (Falmer- East Sussex)
Oct 06 2018 - 2:00pm,20533,Burnley,Huddersfield Town,1,1,Turf Moor (Burnley)
Oct 06 2018 - 2:00pm,25715,Crystal Palace,Wolverhampton Wanderers,0,1,Selhurst Park (London)
Oct 06 2018 - 2:00pm,32007,Leicester City,Everton,1,2,King Power Stadium (Leicester- Leicestershire)
Oct 06 2018 - 2:00pm,43268,Tottenham Hotspur,Cardiff City,1,0,Wembley Stadium (London)
Oct 06 2018 - 2:00pm,20139,Watford,AFC Bournemouth,0,4,Vicarage Road (Watford)
Oct 06 2018 - 4:30pm,74519,Manchester United,Newcastle United,3,2,Old Trafford (Manchester)
Oct 07 2018 - 11:00am,25401,Fulham,Arsenal,1,5,Craven Cottage (London)
Oct 07 2018 - 1:15pm,27077,Southampton,Chelsea,0,3,St. Mary's Stadium (Southampton- Hampshire)
Oct 07 2018 - 3:30pm,52117,Liverpool,Manchester City,0,0,Anfield (Liverpool)
Oct 20 2018 - 11:30am,40721,Chelsea,Manchester United,2,2,Stamford Bridge (London)
Oct 20 2018 - 2:00pm,10986,AFC Bournemouth,Southampton,0,0,Vitality Stadium (Bournemouth- Dorset)
Oct 20 2018 - 2:00pm,29681,Cardiff City,Fulham,4,2,Cardiff City Stadium (Cardiff (Caerdydd))
Oct 20 2018 - 2:00pm,54094,Manchester City,Burnley,5,0,Etihad Stadium (Manchester)
Oct 20 2018 - 2:00pm,50329,Newcastle United,Brighton & Hove Albion,0,1,St. James' Park (Newcastle upon Tyne)
Oct 20 2018 - 2:00pm,56921,West Ham United,Tottenham Hotspur,0,1,London Stadium (London)
Oct 20 2018 - 2:00pm,31144,Wolverhampton Wanderers,Watford,0,2,Molineux Stadium (Wolverhampton- West Midlands)
Oct 20 2018 - 4:30pm,24263,Huddersfield Town,Liverpool,0,1,John Smith's Stadium (Huddersfield- West Yorkshire)
Oct 21 2018 - 3:00pm,38668,Everton,Crystal Palace,2,0,Goodison Park (Liverpool)
Oct 22 2018 - 7:00pm,59886,Arsenal,Leicester City,3,1,Emirates Stadium (London)
Oct 27 2018 - 2:00pm,30654,Brighton & Hove Albion,Wolverhampton Wanderers,1,0,The American Express Community Stadium (Falmer- East Sussex)
Oct 27 2018 - 2:00pm,25071,Fulham,AFC Bournemouth,0,3,Craven Cottage (London)
Oct 27 2018 - 2:00pm,53373,Liverpool,Cardiff City,4,1,Anfield (Liverpool)
Oct 27 2018 - 2:00pm,30736,Southampton,Newcastle United,0,0,St. Mary's Stadium (Southampton- Hampshire)
Oct 27 2018 - 2:00pm,20457,Watford,Huddersfield Town,3,0,Vicarage Road (Watford)
Oct 27 2018 - 4:30pm,31848,Leicester City,West Ham United,1,1,King Power Stadium (Leicester- Leicestershire)
Oct 28 2018 - 1:30pm,21430,Burnley,Chelsea,0,4,Turf Moor (Burnley)
Oct 28 2018 - 1:30pm,25718,Crystal Palace,Arsenal,2,2,Selhurst Park (London)
Oct 28 2018 - 4:00pm,74525,Manchester United,Everton,2,1,Old Trafford (Manchester)
Oct 29 2018 - 8:00pm,56854,Tottenham Hotspur,Manchester City,0,1,Wembley Stadium (London)
Nov 03 2018 - 12:30pm,10792,AFC Bournemouth,Manchester United,1,2,Vitality Stadium (Bournemouth- Dorset)
Nov 03 2018 - 3:00pm,30877,Cardiff City,Leicester City,0,1,Cardiff City Stadium (Cardiff (Caerdydd))
Nov 03 2018 - 3:00pm,38966,Everton,Brighton & Hove Albion,3,1,Goodison Park (Liverpool)
Nov 03 2018 - 3:00pm,49157,Newcastle United,Watford,1,0,St. James' Park (Newcastle upon Tyne)
Nov 03 2018 - 3:00pm,56862,West Ham United,Burnley,4,2,London Stadium (London)
Nov 03 2018 - 5:30pm,59993,Arsenal,Liverpool,1,1,Emirates Stadium (London)
Nov 03 2018 - 7:45pm,31185,Wolverhampton Wanderers,Tottenham Hotspur,2,3,Molineux Stadium (Wolverhampton- West Midlands)
Nov 04 2018 - 3:00pm,53916,Manchester City,Southampton,6,1,Etihad Stadium (Manchester)
Nov 04 2018 - 4:00pm,40407,Chelsea,Crystal Palace,3,1,Stamford Bridge (London)
Nov 05 2018 - 8:00pm,17082,Huddersfield Town,Fulham,1,0,John Smith's Stadium (Huddersfield- West Yorkshire)
Nov 10 2018 - 12:30pm,29402,Cardiff City,Brighton & Hove Albion,2,1,Cardiff City Stadium (Cardiff (Caerdydd))
Nov 10 2018 - 3:00pm,24069,Huddersfield Town,West Ham United,1,1,John Smith's Stadium (Huddersfield- West Yorkshire)
Nov 10 2018 - 3:00pm,32184,Leicester City,Burnley,0,0,King Power Stadium (Leicester- Leicestershire)
Nov 10 2018 - 3:00pm,49266,Newcastle United,AFC Bournemouth,2,1,St. James' Park (Newcastle upon Tyne)
Nov 10 2018 - 3:00pm,28153,Southampton,Watford,1,1,St. Mary's Stadium (Southampton- Hampshire)
Nov 10 2018 - 5:30pm,25685,Crystal Palace,Tottenham Hotspur,0,1,Selhurst Park (London)
Nov 11 2018 - 12:00pm,53128,Liverpool,Fulham,2,0,Anfield (Liverpool)
Nov 11 2018 - 2:15pm,40345,Chelsea,Everton,0,0,Stamford Bridge (London)
Nov 11 2018 - 4:30pm,60030,Arsenal,Wolverhampton Wanderers,1,1,Emirates Stadium (London)
Nov 11 2018 - 4:30pm,54316,Manchester City,Manchester United,3,1,Etihad Stadium (Manchester)
Nov 24 2018 - 3:00pm,30553,Brighton & Hove Albion,Leicester City,1,1,The American Express Community Stadium (Falmer- East Sussex)
Nov 24 2018 - 3:00pm,39139,Everton,Cardiff City,1,0,Goodison Park (Liverpool)
Nov 24 2018 - 3:00pm,24603,Fulham,Southampton,3,2,Craven Cottage (London)
Nov 24 2018 - 3:00pm,74516,Manchester United,Crystal Palace,0,0,Old Trafford (Manchester)
Nov 24 2018 - 3:00pm,20540,Watford,Liverpool,0,3,Vicarage Road (Watford)
Nov 24 2018 - 3:00pm,56886,West Ham United,Manchester City,0,4,London Stadium (London)
Nov 24 2018 - 5:30pm,55465,Tottenham Hotspur,Chelsea,3,1,Wembley Stadium (London)
Nov 25 2018 - 1:30pm,10792,AFC Bournemouth,Arsenal,1,2,Vitality Stadium (Bournemouth- Dorset)
Nov 25 2018 - 4:00pm,30130,Wolverhampton Wanderers,Huddersfield Town,0,2,Molineux Stadium (Wolverhampton- West Midlands)
Nov 26 2018 - 8:30pm,20628,Burnley,Newcastle United,1,2,Turf Moor (Burnley)
Nov 30 2018 - 8:00pm,30213,Cardiff City,Wolverhampton Wanderers,2,1,Cardiff City Stadium (Cardiff (Caerdydd))
Dec 01 2018 - 3:00pm,25098,Crystal Palace,Burnley,2,0,Selhurst Park (London)
Dec 01 2018 - 3:00pm,22973,Huddersfield Town,Brighton & Hove Albion,1,2,John Smith's Stadium (Huddersfield- West Yorkshire)
Dec 01 2018 - 3:00pm,31353,Leicester City,Watford,2,0,King Power Stadium (Leicester- Leicestershire)
Dec 01 2018 - 3:00pm,54409,Manchester City,AFC Bournemouth,3,1,Etihad Stadium (Manchester)
Dec 01 2018 - 3:00pm,51853,Newcastle United,West Ham United,0,3,St. James' Park (Newcastle upon Tyne)
Dec 01 2018 - 5:30pm,30187,Southampton,Manchester United,2,2,St. Mary's Stadium (Southampton- Hampshire)
Dec 02 2018 - 12:00pm,40551,Chelsea,Fulham,2,0,Stamford Bridge (London)
Dec 02 2018 - 2:05pm,59973,Arsenal,Tottenham Hotspur,4,2,Emirates Stadium (London)
Dec 02 2018 - 4:15pm,51756,Liverpool,Everton,1,0,Anfield (Liverpool)
Dec 04 2018 - 7:45pm,9980,AFC Bournemouth,Huddersfield Town,2,1,Vitality Stadium (Bournemouth- Dorset)
Dec 04 2018 - 7:45pm,29663,Brighton & Hove Albion,Crystal Palace,3,1,The American Express Community Stadium (Falmer- East Sussex)
Dec 04 2018 - 7:45pm,56811,West Ham United,Cardiff City,3,1,London Stadium (London)
Dec 04 2018 - 8:00pm,20389,Watford,Manchester City,1,2,Vicarage Road (Watford)
Dec 05 2018 - 7:45pm,21741,Burnley,Liverpool,1,3,Turf Moor (Burnley)
Dec 05 2018 - 7:45pm,22881,Fulham,Leicester City,1,1,Craven Cottage (London)
Dec 05 2018 - 7:45pm,31300,Wolverhampton Wanderers,Chelsea,2,1,Molineux Stadium (Wolverhampton- West Midlands)
Dec 05 2018 - 7:45pm,39350,Everton,Newcastle United,1,1,Goodison Park (Liverpool)
Dec 05 2018 - 8:00pm,74507,Manchester United,Arsenal,2,2,Old Trafford (Manchester)
Dec 05 2018 - 8:00pm,33012,Tottenham Hotspur,Southampton,3,1,Wembley Stadium (London)
Dec 08 2018 - 12:30pm,10752,AFC Bournemouth,Liverpool,0,4,Vitality Stadium (Bournemouth- Dorset)
Dec 08 2018 - 3:00pm,59893,Arsenal,Huddersfield Town,1,0,Emirates Stadium (London)
Dec 08 2018 - 3:00pm,18497,Burnley,Brighton & Hove Albion,1,0,Turf Moor (Burnley)
Dec 08 2018 - 3:00pm,30067,Cardiff City,Southampton,1,0,Cardiff City Stadium (Cardiff (Caerdydd))
Dec 08 2018 - 3:00pm,74523,Manchester United,Fulham,4,1,Old Trafford (Manchester)
Dec 08 2018 - 3:00pm,56995,West Ham United,Crystal Palace,3,2,London Stadium (London)
Dec 08 2018 - 5:30pm,40571,Chelsea,Manchester City,2,0,Stamford Bridge (London)
Dec 08 2018 - 7:45pm,31957,Leicester City,Tottenham Hotspur,0,2,King Power Stadium (Leicester- Leicestershire)
Dec 09 2018 - 4:00pm,50223,Newcastle United,Wolverhampton Wanderers,1,2,St. James' Park (Newcastle upon Tyne)
Dec 10 2018 - 8:00pm,38400,Everton,Watford,2,2,Goodison Park (Liverpool)
Dec 15 2018 - 12:30pm,54173,Manchester City,Everton,3,1,Etihad Stadium (Manchester)
Dec 15 2018 - 3:00pm,24738,Crystal Palace,Leicester City,1,0,Selhurst Park (London)
Dec 15 2018 - 3:00pm,24036,Huddersfield Town,Newcastle United,0,1,John Smith's Stadium (Huddersfield- West Yorkshire)
Dec 15 2018 - 3:00pm,41645,Tottenham Hotspur,Burnley,1,0,Wembley Stadium (London)
Dec 15 2018 - 3:00pm,20032,Watford,Cardiff City,3,2,Vicarage Road (Watford)
Dec 15 2018 - 3:00pm,30997,Wolverhampton Wanderers,AFC Bournemouth,2,0,Molineux Stadium (Wolverhampton- West Midlands)
Dec 15 2018 - 5:30pm,24081,Fulham,West Ham United,0,2,Craven Cottage (London)
Dec 16 2018 - 1:30pm,30645,Brighton & Hove Albion,Chelsea,1,2,The American Express Community Stadium (Falmer- East Sussex)
Dec 16 2018 - 1:30pm,29497,Southampton,Arsenal,3,2,St. Mary's Stadium (Southampton- Hampshire)
Dec 16 2018 - 4:00pm,52908,Liverpool,Manchester United,3,1,Anfield (Liverpool)
Dec 21 2018 - 8:00pm,31358,Wolverhampton Wanderers,Liverpool,0,2,Molineux Stadium (Wolverhampton- West Midlands)
Dec 22 2018 - 12:30pm,59493,Arsenal,Burnley,3,1,Emirates Stadium (London)
Dec 22 2018 - 3:00pm,10491,AFC Bournemouth,Brighton & Hove Albion,2,0,Vitality Stadium (Bournemouth- Dorset)
Dec 22 2018 - 3:00pm,40558,Chelsea,Leicester City,0,1,Stamford Bridge (London)
Dec 22 2018 - 3:00pm,22394,Huddersfield Town,Southampton,1,3,John Smith's Stadium (Huddersfield- West Yorkshire)
Dec 22 2018 - 3:00pm,54340,Manchester City,Crystal Palace,2,3,Etihad Stadium (Manchester)
Dec 22 2018 - 3:00pm,51237,Newcastle United,Fulham,0,0,St. James' Park (Newcastle upon Tyne)
Dec 22 2018 - 3:00pm,56833,West Ham United,Watford,0,2,London Stadium (London)
Dec 22 2018 - 5:30pm,33028,Cardiff City,Manchester United,1,5,Cardiff City Stadium (Cardiff (Caerdydd))
Dec 23 2018 - 4:00pm,39319,Everton,Tottenham Hotspur,2,6,Goodison Park (Liverpool)
Dec 26 2018 - 12:30pm,24382,Fulham,Wolverhampton Wanderers,1,1,Craven Cottage (London)
Dec 26 2018 - 3:00pm,21484,Burnley,Everton,1,5,Turf Moor (Burnley)
Dec 26 2018 - 3:00pm,25206,Crystal Palace,Cardiff City,0,0,Selhurst Park (London)
Dec 26 2018 - 3:00pm,32090,Leicester City,Manchester City,2,1,King Power Stadium (Leicester- Leicestershire)
Dec 26 2018 - 3:00pm,53318,Liverpool,Newcastle United,4,0,Anfield (Liverpool)
Dec 26 2018 - 3:00pm,74523,Manchester United,Huddersfield Town,3,1,Old Trafford (Manchester)
Dec 26 2018 - 3:00pm,45154,Tottenham Hotspur,AFC Bournemouth,5,0,Wembley Stadium (London)
Dec 26 2018 - 5:15pm,30608,Brighton & Hove Albion,Arsenal,1,1,The American Express Community Stadium (Falmer- East Sussex)
Dec 26 2018 - 7:30pm,20415,Watford,Chelsea,1,2,Vicarage Road (Watford)
