date_GMT,attendance,home_team_name,away_team_name,home_team_goal_count,away_team_goal_count,stadium_name
Dec 27 2018 - 7:45pm,31654,Southampton,West Ham United,1,2,St. Mary's Stadium (Southampton- Hampshire)
Dec 29 2018 - 3:00pm,30597,Brighton & Hove Albion,Everton,1,0,The American Express Community Stadium (Falmer- East Sussex)
Dec 29 2018 - 3:00pm,24423,Fulham,Huddersfield Town,1,0,Craven Cottage (London)
Dec 29 2018 - 3:00pm,32047,Leicester City,Cardiff City,0,1,King Power Stadium (Leicester- Leicestershire)
Dec 29 2018 - 3:00pm,46356,Tottenham Hotspur,Wolverhampton Wanderers,1,3,Wembley Stadium (London)
Dec 29 2018 - 3:00pm,20336,Watford,Newcastle United,1,1,Vicarage Road (Watford)
Dec 29 2018 - 5:30pm,53326,Liverpool,Arsenal,5,1,Anfield (Liverpool)
Dec 30 2018 - 12:00pm,25781,Crystal Palace,Chelsea,0,1,Selhurst Park (London)
Dec 30 2018 - 2:15pm,20933,Burnley,West Ham United,2,0,Turf Moor (Burnley)
Dec 30 2018 - 2:15pm,31381,Southampton,Manchester City,1,3,St. Mary's Stadium (Southampton- Hampshire)
Dec 30 2018 - 4:30pm,74556,Manchester United,AFC Bournemouth,4,1,Old Trafford (Manchester)
Jan 01 2019 - 12:30pm,39052,Everton,Leicester City,0,1,Goodison Park (Liverpool)
Jan 01 2019 - 3:00pm,59887,Arsenal,Fulham,4,1,Emirates Stadium (London)
Jan 01 2019 - 5:30pm,32485,Cardiff City,Tottenham Hotspur,0,3,Cardiff City Stadium (Cardiff (Caerdydd))
Jan 02 2019 - 7:45pm,40668,Chelsea,Southampton,0,0,Stamford Bridge (London)
Jan 02 2019 - 7:45pm,23715,Huddersfield Town,Burnley,1,2,John Smith's Stadium (Huddersfield- West Yorkshire)
Jan 02 2019 - 7:45pm,59870,West Ham United,Brighton & Hove Albion,2,2,London Stadium (London)
Jan 02 2019 - 7:45pm,30666,Wolverhampton Wanderers,Crystal Palace,0,2,Molineux Stadium (Wolverhampton- West Midlands)
Jan 02 2019 - 8:00pm,10261,AFC Bournemouth,Watford,3,3,Vitality Stadium (Bournemouth- Dorset)
Jan 02 2019 - 8:00pm,52217,Newcastle United,Manchester United,0,2,St. James' Park (Newcastle upon Tyne)
Jan 03 2019 - 8:00pm,54511,Manchester City,Liverpool,2,1,Etihad Stadium (Manchester)
Jan 12 2019 - 12:30pm,59946,West Ham United,Arsenal,1,0,London Stadium (London)
Jan 12 2019 - 3:00pm,30862,Brighton & Hove Albion,Liverpool,0,1,The American Express Community Stadium (Falmer- East Sussex)
Jan 12 2019 - 3:00pm,19316,Burnley,Fulham,2,1,Turf Moor (Burnley)
Jan 12 2019 - 3:00pm,30725,Cardiff City,Huddersfield Town,0,0,Cardiff City Stadium (Cardiff (Caerdydd))
Jan 12 2019 - 3:00pm,25010,Crystal Palace,Watford,1,2,Selhurst Park (London)
Jan 12 2019 - 3:00pm,31491,Leicester City,Southampton,1,2,King Power Stadium (Leicester- Leicestershire)
Jan 12 2019 - 5:30pm,40491,Chelsea,Newcastle United,2,1,Stamford Bridge (London)
Jan 13 2019 - 2:15pm,38113,Everton,AFC Bournemouth,2,0,Goodison Park (Liverpool)
Jan 13 2019 - 4:30pm,80062,Tottenham Hotspur,Manchester United,0,1,Wembley Stadium (London)
Jan 14 2019 - 8:00pm,54171,Manchester City,Wolverhampton Wanderers,3,0,Etihad Stadium (Manchester)
Jan 19 2019 - 12:30pm,31278,Wolverhampton Wanderers,Leicester City,4,3,Molineux Stadium (Wolverhampton- West Midlands)
Jan 19 2019 - 3:00pm,10495,AFC Bournemouth,West Ham United,2,0,Vitality Stadium (Bournemouth- Dorset)
Jan 19 2019 - 3:00pm,53171,Liverpool,Crystal Palace,4,3,Anfield (Liverpool)
Jan 19 2019 - 3:00pm,74532,Manchester United,Brighton & Hove Albion,2,1,Old Trafford (Manchester)
Jan 19 2019 - 3:00pm,49864,Newcastle United,Cardiff City,3,0,St. James' Park (Newcastle upon Tyne)
Jan 19 2019 - 3:00pm,29989,Southampton,Everton,2,1,St. Mary's Stadium (Southampton- Hampshire)
Jan 19 2019 - 3:00pm,19510,Watford,Burnley,0,0,Vicarage Road (Watford)
Jan 19 2019 - 5:30pm,59979,Arsenal,Chelsea,2,0,Emirates Stadium (London)
Jan 20 2019 - 1:30pm,24190,Huddersfield Town,Manchester City,0,3,John Smith's Stadium (Huddersfield- West Yorkshire)
Jan 20 2019 - 4:00pm,24807,Fulham,Tottenham Hotspur,1,2,Craven Cottage (London)
Jan 29 2019 - 7:45pm,59933,Arsenal,Cardiff City,2,1,Emirates Stadium (London)
Jan 29 2019 - 7:45pm,22008,Fulham,Brighton & Hove Albion,4,2,Craven Cottage (London)
Jan 29 2019 - 7:45pm,23699,Huddersfield Town,Everton,0,1,John Smith's Stadium (Huddersfield- West Yorkshire)
Jan 29 2019 - 7:45pm,31122,Wolverhampton Wanderers,West Ham United,3,0,Molineux Stadium (Wolverhampton- West Midlands)
Jan 29 2019 - 8:00pm,74529,Manchester United,Burnley,2,2,Old Trafford (Manchester)
Jan 29 2019 - 8:00pm,50861,Newcastle United,Manchester City,2,1,St. James' Park (Newcastle upon Tyne)
Jan 30 2019 - 7:45pm,10227,AFC Bournemouth,Chelsea,4,0,Vitality Stadium (Bournemouth- Dorset)
Jan 30 2019 - 7:45pm,28339,Southampton,Crystal Palace,1,1,St. Mary's Stadium (Southampton- Hampshire)
Jan 30 2019 - 8:00pm,53092,Liverpool,Leicester City,1,1,Anfield (Liverpool)
Jan 30 2019 - 8:00pm,29164,Tottenham Hotspur,Watford,2,1,Wembley Stadium (London)
Feb 02 2019 - 12:30pm,41219,Tottenham Hotspur,Newcastle United,1,0,Wembley Stadium (London)
Feb 02 2019 - 3:00pm,30414,Brighton & Hove Albion,Watford,0,0,The American Express Community Stadium (Falmer- East Sussex)
Feb 02 2019 - 3:00pm,19787,Burnley,Southampton,1,1,Turf Moor (Burnley)
Feb 02 2019 - 3:00pm,40626,Chelsea,Huddersfield Town,5,0,Stamford Bridge (London)
Feb 02 2019 - 3:00pm,25355,Crystal Palace,Fulham,2,0,Selhurst Park (London)
Feb 02 2019 - 3:00pm,39380,Everton,Wolverhampton Wanderers,1,3,Goodison Park (Liverpool)
Feb 02 2019 - 5:30pm,31939,Cardiff City,AFC Bournemouth,2,0,Cardiff City Stadium (Cardiff (Caerdydd))
Feb 03 2019 - 2:05pm,32148,Leicester City,Manchester United,0,1,King Power Stadium (Leicester- Leicestershire)
Feb 03 2019 - 4:30pm,54483,Manchester City,Arsenal,3,1,Etihad Stadium (Manchester)
Feb 04 2019 - 8:00pm,59903,West Ham United,Liverpool,1,1,London Stadium (London)
Feb 06 2019 - 7:45pm,39322,Everton,Manchester City,0,2,Goodison Park (Liverpool)
Feb 09 2019 - 12:30pm,25001,Fulham,Manchester United,0,3,Craven Cottage (London)
Feb 09 2019 - 3:00pm,25552,Crystal Palace,West Ham United,1,1,Selhurst Park (London)
Feb 09 2019 - 3:00pm,24182,Huddersfield Town,Arsenal,1,2,John Smith's Stadium (Huddersfield- West Yorkshire)
Feb 09 2019 - 3:00pm,53178,Liverpool,AFC Bournemouth,3,0,Anfield (Liverpool)
Feb 09 2019 - 3:00pm,31438,Southampton,Cardiff City,1,2,St. Mary's Stadium (Southampton- Hampshire)
Feb 09 2019 - 3:00pm,20333,Watford,Everton,1,0,Vicarage Road (Watford)
Feb 09 2019 - 5:30pm,29323,Brighton & Hove Albion,Burnley,1,3,The American Express Community Stadium (Falmer- East Sussex)
Feb 10 2019 - 1:30pm,44154,Tottenham Hotspur,Leicester City,3,1,Wembley Stadium (London)
Feb 10 2019 - 4:00pm,54452,Manchester City,Chelsea,6,0,Etihad Stadium (Manchester)
Feb 11 2019 - 8:00pm,30687,Wolverhampton Wanderers,Newcastle United,1,1,Molineux Stadium (Wolverhampton- West Midlands)
Feb 22 2019 - 7:45pm,30387,Cardiff City,Watford,1,5,Cardiff City Stadium (Cardiff (Caerdydd))
Feb 22 2019 - 7:45pm,59950,West Ham United,Fulham,3,1,London Stadium (London)
Feb 23 2019 - 12:30pm,21338,Burnley,Tottenham Hotspur,2,1,Turf Moor (Burnley)
Feb 23 2019 - 3:00pm,10671,AFC Bournemouth,Wolverhampton Wanderers,1,1,Vitality Stadium (Bournemouth- Dorset)
Feb 23 2019 - 3:00pm,52174,Newcastle United,Huddersfield Town,2,0,St. James' Park (Newcastle upon Tyne)
Feb 23 2019 - 5:30pm,31778,Leicester City,Crystal Palace,1,4,King Power Stadium (Leicester- Leicestershire)
Feb 24 2019 - 2:05pm,59877,Arsenal,Southampton,2,0,Emirates Stadium (London)
Feb 24 2019 - 2:05pm,74519,Manchester United,Liverpool,0,0,Old Trafford (Manchester)
Feb 26 2019 - 7:45pm,31849,Cardiff City,Everton,0,3,Cardiff City Stadium (Cardiff (Caerdydd))
Feb 26 2019 - 7:45pm,22714,Huddersfield Town,Wolverhampton Wanderers,1,0,John Smith's Stadium (Huddersfield- West Yorkshire)
Feb 26 2019 - 7:45pm,30558,Leicester City,Brighton & Hove Albion,2,1,King Power Stadium (Leicester- Leicestershire)
Feb 26 2019 - 8:00pm,48323,Newcastle United,Burnley,2,0,St. James' Park (Newcastle upon Tyne)
Feb 27 2019 - 7:45pm,59618,Arsenal,AFC Bournemouth,5,1,Emirates Stadium (London)
Feb 27 2019 - 7:45pm,27597,Southampton,Fulham,2,0,St. Mary's Stadium (Southampton- Hampshire)
Feb 27 2019 - 8:00pm,25754,Crystal Palace,Manchester United,1,3,Selhurst Park (London)
Feb 27 2019 - 8:00pm,40542,Chelsea,Tottenham Hotspur,2,0,Stamford Bridge (London)
Feb 27 2019 - 8:00pm,53316,Liverpool,Watford,5,0,Anfield (Liverpool)
Feb 27 2019 - 8:00pm,53528,Manchester City,West Ham United,1,0,Etihad Stadium (Manchester)
Mar 02 2019 - 12:30pm,81332,Tottenham Hotspur,Arsenal,1,1,Wembley Stadium (London)
Mar 02 2019 - 3:00pm,10699,AFC Bournemouth,Manchester City,0,1,Vitality Stadium (Bournemouth- Dorset)
Mar 02 2019 - 3:00pm,30182,Brighton & Hove Albion,Huddersfield Town,1,0,The American Express Community Stadium (Falmer- East Sussex)
Mar 02 2019 - 3:00pm,19223,Burnley,Crystal Palace,1,3,Turf Moor (Burnley)
Mar 02 2019 - 3:00pm,74459,Manchester United,Southampton,3,2,Old Trafford (Manchester)
Mar 02 2019 - 3:00pm,31309,Wolverhampton Wanderers,Cardiff City,2,0,Molineux Stadium (Wolverhampton- West Midlands)
Mar 02 2019 - 5:30pm,59910,West Ham United,Newcastle United,2,0,London Stadium (London)
Mar 03 2019 - 12:00pm,20062,Watford,Leicester City,2,1,Vicarage Road (Watford)
Mar 03 2019 - 2:05pm,24900,Fulham,Chelsea,1,2,Craven Cottage (London)
Mar 03 2019 - 4:15pm,39335,Everton,Liverpool,0,0,Goodison Park (Liverpool)
Mar 09 2019 - 12:30pm,24972,Crystal Palace,Brighton & Hove Albion,1,2,Selhurst Park (London)
Mar 09 2019 - 3:00pm,32458,Cardiff City,West Ham United,2,0,Cardiff City Stadium (Cardiff (Caerdydd))
Mar 09 2019 - 3:00pm,22304,Huddersfield Town,AFC Bournemouth,0,2,John Smith's Stadium (Huddersfield- West Yorkshire)
Mar 09 2019 - 3:00pm,32017,Leicester City,Fulham,3,1,King Power Stadium (Leicester- Leicestershire)
Mar 09 2019 - 3:00pm,52242,Newcastle United,Everton,3,2,St. James' Park (Newcastle upon Tyne)
Mar 09 2019 - 3:00pm,31890,Southampton,Tottenham Hotspur,2,1,St. Mary's Stadium (Southampton- Hampshire)
Mar 09 2019 - 5:30pm,54104,Manchester City,Watford,3,1,Etihad Stadium (Manchester)
Mar 10 2019 - 12:00pm,53310,Liverpool,Burnley,4,2,Anfield (Liverpool)
Mar 10 2019 - 2:05pm,40692,Chelsea,Wolverhampton Wanderers,1,1,Stamford Bridge (London)
Mar 10 2019 - 4:30pm,60000,Arsenal,Manchester United,2,0,Emirates Stadium (London)
Mar 16 2019 - 3:00pm,10625,AFC Bournemouth,Newcastle United,2,2,Vitality Stadium (Bournemouth- Dorset)
Mar 16 2019 - 3:00pm,20719,Burnley,Leicester City,1,2,Turf Moor (Burnley)
Mar 16 2019 - 3:00pm,59931,West Ham United,Huddersfield Town,4,3,London Stadium (London)
Mar 17 2019 - 2:15pm,25043,Fulham,Liverpool,1,2,Craven Cottage (London)
Mar 17 2019 - 4:30pm,39356,Everton,Chelsea,2,0,Goodison Park (Liverpool)
Mar 30 2019 - 12:30pm,25001,Fulham,Manchester City,0,2,Craven Cottage (London)
Mar 30 2019 - 3:00pm,30636,Brighton & Hove Albion,Southampton,0,1,The American Express Community Stadium (Falmer- East Sussex)
Mar 30 2019 - 3:00pm,20990,Burnley,Wolverhampton Wanderers,2,0,Turf Moor (Burnley)
Mar 30 2019 - 3:00pm,25193,Crystal Palace,Huddersfield Town,2,0,Selhurst Park (London)
Mar 30 2019 - 3:00pm,31530,Leicester City,AFC Bournemouth,2,0,King Power Stadium (Leicester- Leicestershire)
Mar 30 2019 - 3:00pm,74543,Manchester United,Watford,2,1,Old Trafford (Manchester)
Mar 30 2019 - 5:30pm,59988,West Ham United,Everton,0,2,London Stadium (London)
Mar 31 2019 - 1:05pm,32657,Cardiff City,Chelsea,1,2,Cardiff City Stadium (Cardiff (Caerdydd))
Mar 31 2019 - 3:30pm,53322,Liverpool,Tottenham Hotspur,2,1,Anfield (Liverpool)
Apr 01 2019 - 7:00pm,59869,Arsenal,Newcastle United,2,0,Emirates Stadium (London)
Apr 02 2019 - 6:45pm,17301,Watford,Fulham,4,1,Vicarage Road (Watford)
Apr 02 2019 - 6:45pm,31302,Wolverhampton Wanderers,Manchester United,2,1,Molineux Stadium (Wolverhampton- West Midlands)
Apr 03 2019 - 6:45pm,38593,Chelsea,Brighton & Hove Albion,3,0,Stamford Bridge (London)
Apr 03 2019 - 6:45pm,59215,Tottenham Hotspur,Crystal Palace,2,0,Tottenham Hotspur Stadium (London)
Apr 03 2019 - 6:45pm,53559,Manchester City,Cardiff City,2,0,Etihad Stadium (Manchester)
Apr 05 2019 - 7:00pm,31797,Southampton,Liverpool,1,3,St. Mary's Stadium (Southampton- Hampshire)
Apr 06 2019 - 2:00pm,10446,AFC Bournemouth,Burnley,1,3,Vitality Stadium (Bournemouth- Dorset)
Apr 06 2019 - 2:00pm,24126,Huddersfield Town,Leicester City,1,4,John Smith's Stadium (Huddersfield- West Yorkshire)
Apr 06 2019 - 2:00pm,51926,Newcastle United,Crystal Palace,0,1,St. James' Park (Newcastle upon Tyne)
Apr 07 2019 - 1:05pm,39400,Everton,Arsenal,1,0,Goodison Park (Liverpool)
Apr 08 2019 - 7:00pm,40537,Chelsea,West Ham United,2,0,Stamford Bridge (London)
Apr 12 2019 - 7:00pm,32108,Leicester City,Newcastle United,0,1,King Power Stadium (Leicester- Leicestershire)
Apr 13 2019 - 11:30am,58308,Tottenham Hotspur,Huddersfield Town,4,0,Tottenham Hotspur Stadium (London)
Apr 13 2019 - 2:00pm,30460,Brighton & Hove Albion,AFC Bournemouth,0,5,The American Express Community Stadium (Falmer- East Sussex)
Apr 13 2019 - 2:00pm,21480,Burnley,Cardiff City,2,0,Turf Moor (Burnley)
Apr 13 2019 - 2:00pm,24971,Fulham,Everton,2,0,Craven Cottage (London)
Apr 13 2019 - 2:00pm,31708,Southampton,Wolverhampton Wanderers,3,1,St. Mary's Stadium (Southampton- Hampshire)
Apr 13 2019 - 4:30pm,74478,Manchester United,West Ham United,2,1,Old Trafford (Manchester)
Apr 14 2019 - 1:05pm,25721,Crystal Palace,Manchester City,1,3,Selhurst Park (London)
Apr 14 2019 - 3:30pm,53279,Liverpool,Chelsea,2,0,Anfield (Liverpool)
Apr 15 2019 - 7:00pm,20480,Watford,Arsenal,0,1,Vicarage Road (Watford)
Apr 16 2019 - 6:45pm,30226,Brighton & Hove Albion,Cardiff City,0,2,The American Express Community Stadium (Falmer- East Sussex)
Apr 20 2019 - 11:30am,54489,Manchester City,Tottenham Hotspur,1,0,Etihad Stadium (Manchester)
Apr 20 2019 - 2:00pm,10511,AFC Bournemouth,Fulham,0,1,Vitality Stadium (Bournemouth- Dorset)
Apr 20 2019 - 2:00pm,23957,Huddersfield Town,Watford,1,2,John Smith's Stadium (Huddersfield- West Yorkshire)
Apr 20 2019 - 2:00pm,59960,West Ham United,Leicester City,2,2,London Stadium (London)
Apr 20 2019 - 2:00pm,31096,Wolverhampton Wanderers,Brighton & Hove Albion,0,0,Molineux Stadium (Wolverhampton- West Midlands)
Apr 20 2019 - 4:30pm,52191,Newcastle United,Southampton,3,1,St. James' Park (Newcastle upon Tyne)
Apr 21 2019 - 12:30pm,39395,Everton,Manchester United,4,0,Goodison Park (Liverpool)
Apr 21 2019 - 3:00pm,59929,Arsenal,Crystal Palace,2,3,Emirates Stadium (London)
Apr 21 2019 - 3:00pm,33082,Cardiff City,Liverpool,0,2,Cardiff City Stadium (Cardiff (Caerdydd))
Apr 22 2019 - 7:00pm,40642,Chelsea,Burnley,2,2,Stamford Bridge (London)
Apr 23 2019 - 6:45pm,19170,Watford,Southampton,1,1,Vicarage Road (Watford)
Apr 23 2019 - 6:45pm,56251,Tottenham Hotspur,Brighton & Hove Albion,1,0,Tottenham Hotspur Stadium (London)
Apr 24 2019 - 6:45pm,31436,Wolverhampton Wanderers,Arsenal,3,1,Molineux Stadium (Wolverhampton- West Midlands)
Apr 24 2019 - 7:00pm,74431,Manchester United,Manchester City,0,2,Old Trafford (Manchester)
Apr 26 2019 - 7:00pm,53249,Liverpool,Huddersfield Town,5,0,Anfield (Liverpool)
Apr 27 2019 - 11:30am,60043,Tottenham Hotspur,West Ham United,0,1,Tottenham Hotspur Stadium (London)
Apr 27 2019 - 2:00pm,25789,Crystal Palace,Everton,0,0,Selhurst Park (London)
Apr 27 2019 - 2:00pm,23822,Fulham,Cardiff City,1,0,Craven Cottage (London)
Apr 27 2019 - 2:00pm,31310,Southampton,AFC Bournemouth,3,3,St. Mary's Stadium (Southampton- Hampshire)
Apr 27 2019 - 2:00pm,20323,Watford,Wolverhampton Wanderers,1,2,Vicarage Road (Watford)
Apr 27 2019 - 4:30pm,30587,Brighton & Hove Albion,Newcastle United,1,1,The American Express Community Stadium (Falmer- East Sussex)
Apr 28 2019 - 11:00am,32037,Leicester City,Arsenal,3,0,King Power Stadium (Leicester- Leicestershire)
Apr 28 2019 - 1:05pm,21605,Burnley,Manchester City,0,1,Turf Moor (Burnley)
Apr 28 2019 - 3:30pm,74526,Manchester United,Chelsea,1,1,Old Trafford (Manchester)
May 03 2019 - 7:00pm,39303,Everton,Burnley,2,0,Goodison Park (Liverpool)
May 04 2019 - 11:30am,10630,AFC Bournemouth,Tottenham Hotspur,1,0,Vitality Stadium (Bournemouth- Dorset)
May 04 2019 - 2:00pm,59961,West Ham United,Southampton,3,0,London Stadium (London)
May 04 2019 - 2:00pm,30456,Wolverhampton Wanderers,Fulham,1,0,Molineux Stadium (Wolverhampton- West Midlands)
May 04 2019 - 4:30pm,32133,Cardiff City,Crystal Palace,2,3,Cardiff City Stadium (Cardiff (Caerdydd))
May 04 2019 - 6:45pm,52206,Newcastle United,Liverpool,2,3,St. James' Park (Newcastle upon Tyne)
May 05 2019 - 1:00pm,40650,Chelsea,Watford,3,0,Stamford Bridge (London)
May 05 2019 - 1:00pm,24263,Huddersfield Town,Manchester United,1,1,John Smith's Stadium (Huddersfield- West Yorkshire)
May 05 2019 - 3:30pm,59965,Arsenal,Brighton & Hove Albion,1,1,Emirates Stadium (London)
May 06 2019 - 7:00pm,54506,Manchester City,Leicester City,1,0,Etihad Stadium (Manchester)
May 12 2019 - 2:00pm,30662,Brighton & Hove Albion,Manchester City,1,4,The American Express Community Stadium (Falmer- East Sussex)
May 12 2019 - 2:00pm,21461,Burnley,Arsenal,1,3,Turf Moor (Burnley)
May 12 2019 - 2:00pm,25433,Crystal Palace,AFC Bournemouth,5,3,Selhurst Park (London)
May 12 2019 - 2:00pm,24979,Fulham,Newcastle United,0,4,Craven Cottage (London)
May 12 2019 - 2:00pm,32140,Leicester City,Chelsea,0,0,King Power Stadium (Leicester- Leicestershire)
May 12 2019 - 2:00pm,53331,Liverpool,Wolverhampton Wanderers,2,0,Anfield (Liverpool)
May 12 2019 - 2:00pm,74457,Manchester United,Cardiff City,0,2,Old Trafford (Manchester)
May 12 2019 - 2:00pm,30367,Southampton,Huddersfield Town,1,1,St. Mary's Stadium (Southampton- Hampshire)
May 12 2019 - 2:00pm,60124,Tottenham Hotspur,Everton,2,2,Tottenham Hotspur Stadium (London)
May 12 2019 - 2:00pm,20067,Watford,West Ham United,1,4,Vicarage Road (Watford)
