full_name,age,position,Current Club,nationality,appearances_overall,goals_overall,assists_overall
Aaron Cresswell,32,Defender,West Ham United,England,20,0,1
Aaron Lennon,35,Midfielder,Burnley,England,16,1,1
Aaron Mooy,32,Midfielder,Huddersfield Town,Australia,29,3,1
Aaron Ramsey,31,Midfielder,Arsenal,Wales,28,4,6
Aaron Rowe,22,Forward,Huddersfield Town,England,2,0,0
Aaron Wan-Bissaka,24,Midfielder,Crystal Palace,England,35,0,3
Abdelhamid Sabiri,25,Midfielder,Huddersfield Town,Morocco,2,0,0
Abdoulaye Doucour?,29,Midfielder,Watford,France,35,5,6
Aboubakar Kamara,27,Forward,Fulham,France,13,3,0
Adalberto Pe?aranda Maestre,25,Forward,Watford,Venezuela,0,0,0
Adam Lallana,34,Midfielder,Liverpool,England,13,0,0
Adam Masina,28,Defender,Watford,Italy,14,0,1
Adam Smith,31,Defender,AFC Bournemouth,England,25,1,1
Adama Diakhaby,26,Forward,Huddersfield Town,France,12,0,0
Adama Traor?,26,Midfielder,Wolverhampton Wanderers,Spain,29,1,1
Ademola Lookman,25,Forward,Everton,England,21,0,2
Adri?n,35,Goalkeeper,West Ham United,Spain,0,0,0
Adrian Mariappa,36,Defender,Watford,Jamaica,26,0,0
Adrien Sebastian Perruchet Silva,33,Midfielder,Leicester City,Portugal,2,0,0
Ainsley Maitland-Niles,25,Midfielder,Arsenal,England,16,1,1
Alberto Moreno,30,Defender,Liverpool,Spain,2,0,0
Aleksandar Mitrovi?,28,Forward,Fulham,Serbia,37,11,3
Alex Iwobi,26,Forward,Arsenal,Nigeria,35,3,6
Alex McCarthy,32,Goalkeeper,Southampton,England,25,0,0
Alex Oxlade-Chamberlain,29,Midfielder,Liverpool,England,2,0,0
Alex Pritchard,29,Midfielder,Huddersfield Town,England,30,2,0
Alex Smithies,32,Goalkeeper,Cardiff City,England,0,0,0
Alexander S©ªrloth,26,Forward,Crystal Palace,Norway,12,0,0
Alexandre Lacazette,31,Forward,Arsenal,France,35,13,8
Alexandre Nascimento Costa Silva,25,Forward,West Ham United,Portugal,1,0,0
Alexis Sanchez,33,Forward,Manchester United,Chile,20,1,3
Alfie Jones,25,Defender,Southampton,England,0,0,0
Alfie Mawson,28,Defender,Fulham,England,15,0,0
Alfie Whiteman,24,Goalkeeper,Tottenham Hotspur,England,0,0,0
Ali Koiki,22,Defender,Burnley,England,0,0,0
Alireza Jahanbakhsh,29,Forward,Brighton & Hove Albion,Iran,19,0,0
Alisson Becker,30,Goalkeeper,Liverpool,Brazil,38,0,0
Alvaro Morata,30,Forward,Chelsea,Spain,16,5,0
Ander Herrera,33,Midfielder,Manchester United,Spain,22,2,3
Andr? Gomes,29,Midfielder,Everton,Portugal,27,1,1
Andre Gray,31,Forward,Watford,England,29,7,2
Andr? Sch?rrle,31,Midfielder,Fulham,Germany,24,6,0
Andr?-Frank Zambo Anguissa,26,Midfielder,Fulham,Cameroon,22,0,0
Andreas Christensen,26,Defender,Chelsea,Denmark,8,0,0
Andreas Pereira,26,Midfielder,Manchester United,Brazil,15,1,1
Andrew Robertson,28,Defender,Liverpool,Scotland,36,0,11
Andrew Surman,36,Midfielder,AFC Bournemouth,England,18,0,0
Andriy Yarmolenko,33,Forward,West Ham United,Ukraine,9,2,0
Andros Townsend,31,Midfielder,Crystal Palace,England,38,6,4
Andy Carroll,33,Forward,West Ham United,England,12,0,0
Angel Gomes,22,Midfielder,Manchester United,England,2,0,0
Angelo Ogbonna,34,Defender,West Ham United,Italy,24,1,1
Angus Gunn,26,Goalkeeper,Southampton,England,12,0,0
Anthony Driscoll-Glennon,22,Defender,Burnley,England,0,0,0
Anthony Knockaert,30,Midfielder,Brighton & Hove Albion,France,30,2,6
Anthony Martial,26,Forward,Manchester United,France,27,10,2
Antonio Barreca,27,Defender,Newcastle United,Italy,1,0,0
Antonio R?diger,29,Defender,Chelsea,Germany,33,1,0
Antonio Valencia,37,Defender,Manchester United,Ecuador,6,0,0
Arijanet Muric,23,Goalkeeper,Manchester City,Montenegro,0,0,0
Aron Einar Gunnarsson,33,Midfielder,Cardiff City,Iceland,28,1,1
Arthur Masuaku,28,Defender,West Ham United,France,23,0,1
Artur Boruc,42,Goalkeeper,AFC Bournemouth,Poland,12,0,0
Ashley Barnes,32,Forward,Burnley,England,37,12,2
Ashley Westwood,32,Midfielder,Burnley,England,34,2,7
Ashley Young,37,Midfielder,Manchester United,England,30,2,2
Asmir Begovi?,35,Goalkeeper,AFC Bournemouth,Bosnia and Herzegovina,24,0,0
Aymeric Laporte,28,Defender,Manchester City,France,35,3,3
Ayoze Perez,29,Forward,Newcastle United,Spain,37,12,2
Bakary Sako,34,Midfielder,Crystal Palace,Mali,4,0,0
Ben Chilwell,25,Defender,Leicester City,England,36,0,4
Ben Davies,29,Defender,Tottenham Hotspur,Wales,27,0,0
Ben Foster,39,Goalkeeper,Watford,England,38,0,0
Ben Gibson,29,Defender,Burnley,England,1,1,0
Ben Hamer,34,Goalkeeper,Huddersfield Town,England,7,0,0
Ben Johnson,22,Forward,West Ham United,England,1,0,0
Ben Mee,33,Defender,Burnley,England,38,0,2
Ben White,25,Defender,Brighton & Hove Albion,England,0,0,0
Ben Wilmot,23,Defender,Watford,England,2,0,0
Benjamin Mendy,28,Defender,Manchester City,France,10,0,5
Beram Kayal,34,Midfielder,Brighton & Hove Albion,Israel,18,1,1
Bernard An?cio Caldeira Duarte,30,Midfielder,Everton,Brazil,34,1,3
Bernardo,27,Defender,Brighton & Hove Albion,Brazil,22,0,1
Bernardo Silva,28,Midfielder,Manchester City,Portugal,36,7,7
Bernd Leno,30,Goalkeeper,Arsenal,Germany,32,0,0
Bobby Reid,29,Midfielder,Cardiff City,England,27,5,2
Brian Murphy,39,Goalkeeper,Cardiff City,Republic of Ireland,0,0,0
Bright Enobakhare,24,Forward,Wolverhampton Wanderers,England,0,0,0
Bruno ?cu?l? Manga,34,Defender,Cardiff City,Gabon,38,0,1
Bruno Saltor Grau,42,Defender,Brighton & Hove Albion,Spain,14,0,1
Caglar S?y?nc?,26,Defender,Leicester City,Turkey,6,0,0
Callum Hudson-Odoi,21,Midfielder,Chelsea,England,10,0,1
Callum Paterson,28,Defender,Cardiff City,Scotland,27,4,1
Callum Roberts,25,Forward,Newcastle United,England,0,0,0
Callum Slattery,23,Midfielder,Southampton,England,3,0,0
Callum Wilson,30,Forward,AFC Bournemouth,England,30,14,9
Calum Chambers,27,Defender,Fulham,England,31,2,0
Cameron John,23,Defender,Wolverhampton Wanderers,England,0,0,0
Carl Jenkinson,30,Defender,Arsenal,England,3,0,0
Carlos S?nchez,36,Midfielder,West Ham United,Colombia,7,0,0
Cedric Soares,31,Defender,Southampton,Portugal,18,1,2
Cenk Tosun,31,Forward,Everton,Turkey,25,3,3
Cesar Azpilicueta,33,Defender,Chelsea,Spain,38,1,5
Cesc Fabregas,35,Midfielder,Chelsea,Spain,6,0,0
Charlie Austin,33,Forward,Southampton,England,25,2,2
Charlie Daniels,36,Defender,AFC Bournemouth,England,21,1,0
Charlie Taylor,29,Defender,Burnley,England,38,0,1
Cheikhou Kouyat?,32,Midfielder,Crystal Palace,Senegal,31,0,2
Chris L?we,33,Defender,Huddersfield Town,Germany,29,0,2
Chris Mepham,24,Defender,AFC Bournemouth,Wales,13,0,1
Chris Smalling,32,Defender,Manchester United,England,24,1,0
Chris Wood,30,Forward,Burnley,New Zealand,38,10,2
Christian Atsu Twasam,30,Midfielder,Newcastle United,Ghana,28,1,0
Christian Benteke,31,Forward,Crystal Palace,Belgium,16,1,1
Christian Eriksen,30,Midfielder,Tottenham Hotspur,Denmark,35,8,12
Christian Fuchs,36,Defender,Leicester City,Austria,3,0,0
Christian Kabasele,31,Defender,Watford,Belgium,21,0,0
Christopher Schindler,32,Defender,Huddersfield Town,Germany,37,1,0
Ciaran Clark,33,Defender,Newcastle United,Republic of Ireland,11,3,0
Claudio Bravo,39,Goalkeeper,Manchester City,Chile,0,0,0
Collin Quaner,31,Forward,Huddersfield Town,Germany,2,0,0
Connor Wickham,29,Forward,Crystal Palace,England,6,0,1
Conor Coady,29,Midfielder,Wolverhampton Wanderers,England,38,0,0
Conor Coventry,22,Midfielder,West Ham United,Republic of Ireland,0,0,0
Craig Cathcart,33,Defender,Watford,Northern Ireland,36,3,0
Curtis Jones,21,Midfielder,Liverpool,England,0,0,0
Cyrus Christie,30,Defender,Fulham,Republic of Ireland,28,0,1
Dale Stephens,33,Midfielder,Brighton & Hove Albion,England,30,1,1
Dan Burn,30,Defender,Brighton & Hove Albion,England,0,0,0
Dan Gosling,32,Midfielder,AFC Bournemouth,England,25,2,1
Daniel Amartey,27,Midfielder,Leicester City,Ghana,9,0,0
Daniel Sturridge,33,Forward,Liverpool,England,18,2,1
Daniel Williams,33,Midfielder,Huddersfield Town,USA,5,0,0
Danilo,31,Defender,Manchester City,Brazil,11,1,0
Danny Drinkwater,32,Midfielder,Chelsea,England,0,0,0
Danny Ings,30,Forward,Southampton,England,24,7,3
Danny Rose,32,Defender,Tottenham Hotspur,England,26,0,3
Danny Simpson,35,Defender,Leicester City,England,6,0,0
Danny Ward,29,Goalkeeper,Leicester City,Wales,0,0,0
Danny Ward,31,Forward,Cardiff City,England,14,1,0
Danny Welbeck,31,Forward,Arsenal,England,8,1,1
Daryl Janmaat,33,Defender,Watford,Netherlands,18,0,2
David Brooks,25,Forward,AFC Bournemouth,England,30,7,5
David Button,33,Goalkeeper,Brighton & Hove Albion,England,4,0,0
David de Gea,31,Goalkeeper,Manchester United,Spain,38,0,0
David Junior Hoilett,32,Forward,Cardiff City,Canada,32,3,1
David Luiz,35,Defender,Chelsea,Brazil,36,3,2
David Silva,36,Midfielder,Manchester City,Spain,33,6,8
Davide Zappacosta,30,Defender,Chelsea,Italy,4,0,0
Davinson S?nchez,26,Defender,Tottenham Hotspur,Colombia,23,1,1
Davy Pr?pper,31,Midfielder,Brighton & Hove Albion,Netherlands,30,1,1
DeAndre Yedlin,29,Defender,Newcastle United,USA,29,1,2
Declan Rice,23,Midfielder,West Ham United,Republic of Ireland,34,2,0
Dejan Lovren,33,Defender,Liverpool,Croatia,13,1,0
Dele Alli,26,Midfielder,Tottenham Hotspur,England,25,5,3
Demarai Gray,26,Midfielder,Leicester City,England,34,4,1
Demeaco Duhaney,24,Defender,Huddersfield Town,England,1,0,0
Denis Odoi,34,Defender,Fulham,Belgium,31,0,1
Denis Su?rez,28,Midfielder,Arsenal,Spain,4,0,0
Diego Rico,29,Defender,AFC Bournemouth,Spain,12,0,0
Diogo Dalot,23,Defender,Manchester United,Portugal,16,0,2
Diogo Jos? Teixeira da Silva,25,Midfielder,Wolverhampton Wanderers,Portugal,33,9,5
Divock Origi,27,Forward,Liverpool,Belgium,12,3,1
Domingos Quina,22,Midfielder,Watford,Portugal,8,1,0
Dominic Calvert-Lewin,25,Forward,Everton,England,35,6,2
Dominic Solanke,25,Forward,AFC Bournemouth,England,10,0,1
Dwight McNeil,22,Forward,Burnley,England,21,3,5
Eden Hazard,31,Midfielder,Chelsea,Belgium,37,16,15
Ederson,29,Goalkeeper,Manchester City,Brazil,38,0,1
Edward Nketiah,23,Forward,Arsenal,England,5,1,0
Elias Kachunga,30,Forward,Huddersfield Town,Congo DR,20,0,0
Emerson Hyndman,26,Midfielder,AFC Bournemouth,USA,1,0,0
Emerson Palmieri,28,Defender,Chelsea,Italy,10,0,0
Emile Smith Rowe,22,Midfielder,Arsenal,England,0,0,0
Emiliano Mart?nez,30,Goalkeeper,Arsenal,Argentina,0,0,0
Eric Bailly,28,Defender,Manchester United,Ivory Coast,12,0,0
Eric Dier,28,Midfielder,Tottenham Hotspur,England,20,3,0
Erik Durm,30,Defender,Huddersfield Town,Germany,28,0,1
Erik Lamela,30,Midfielder,Tottenham Hotspur,Argentina,19,4,2
Ethan Ampadu,22,Midfielder,Chelsea,Wales,0,0,0
?tienne Capoue,34,Midfielder,Watford,France,33,1,3
Fabi?n Balbuena,31,Defender,West Ham United,Paraguay,23,1,0
Fabian Delph,32,Midfielder,Manchester City,England,11,0,1
Fabian Sch?r,30,Defender,Newcastle United,Switzerland,24,4,1
Fabinho,29,Midfielder,Liverpool,Brazil,28,1,2
Fabricio Mart?n Agosto Ram?rez,34,Goalkeeper,Fulham,Spain,2,0,0
Faustino Marcos Alberto Rojo,32,Defender,Manchester United,Argentina,5,0,0
Federico Fern?ndez,33,Defender,Newcastle United,Argentina,19,0,1
Felipe Anderson,29,Midfielder,West Ham United,Brazil,36,9,4
Fernandinho,37,Midfielder,Manchester City,Brazil,29,1,3
Fernando Llorente Torres,37,Forward,Tottenham Hotspur,Spain,20,1,4
Florent Hadergjonaj,28,Defender,Huddersfield Town,Switzerland,24,0,0
Florian Lejeune,31,Defender,Newcastle United,France,12,0,0
Florin Andone,29,Forward,Brighton & Hove Albion,Romania,23,3,0
Floyd Ayit?,33,Midfielder,Fulham,Togo,16,1,0
Fousseni Diabat?,27,Midfielder,Leicester City,Mali,1,0,0
Fraser Forster,34,Goalkeeper,Southampton,England,1,0,0
Fred,29,Midfielder,Manchester United,Brazil,17,1,1
Freddie Woodman,25,Goalkeeper,Newcastle United,England,0,0,0
Gabriel Jesus,25,Forward,Manchester City,Brazil,29,7,3
Ga?tan Bong Songo,34,Defender,Brighton & Hove Albion,Cameroon,22,0,0
Gary Cahill,36,Defender,Chelsea,England,2,0,0
Gary Madine,32,Forward,Cardiff City,England,5,0,0
George Marsh,23,Midfielder,Tottenham Hotspur,England,0,0,0
Georges-Kevin N'Koudou Mbida,27,Forward,Tottenham Hotspur,France,1,0,1
Georginio Wijnaldum,31,Midfielder,Liverpool,Netherlands,35,3,0
Gerard Deulofeu,28,Forward,Watford,Spain,30,10,5
Glenn Murray,39,Forward,Brighton & Hove Albion,England,38,13,1
Gonzalo Higuain,34,Forward,Chelsea,Argentina,14,5,0
Grady Diangana,24,Midfielder,West Ham United,England,17,0,1
Granit Xhaka,30,Midfielder,Arsenal,Switzerland,29,4,2
Greg Cunningham,31,Defender,Cardiff City,Republic of Ireland,7,0,0
Gylfi Sigurdsson,33,Midfielder,Everton,Iceland,38,13,6
Hamza Choudhury,25,Midfielder,Leicester City,England,9,0,0
Harry Arter,32,Midfielder,Cardiff City,Republic of Ireland,25,0,1
Harry Kane,29,Forward,Tottenham Hotspur,England,28,17,4
Harry Maguire,29,Defender,Leicester City,England,31,3,0
Harry Winks,26,Midfielder,Tottenham Hotspur,England,26,1,0
Harvey Barnes,24,Midfielder,Leicester City,England,16,1,2
H?vard Nordtveit,32,Midfielder,Fulham,Norway,5,0,1
Hector Bellerin,27,Defender,Arsenal,Spain,19,0,5
H?lder Wander Sousa Azevedo Costa,28,Midfielder,Wolverhampton Wanderers,Portugal,25,1,2
Henrikh Mkhitaryan,33,Midfielder,Arsenal,Armenia,25,6,4
Heung-Min Son,30,Forward,Tottenham Hotspur,South Korea,31,12,6
Heurelho da Silva Gomes,41,Goalkeeper,Watford,Brazil,0,0,0
Hugo Lloris,35,Goalkeeper,Tottenham Hotspur,France,33,0,0
Ibrahima Ciss?,28,Midfielder,Fulham,Belgium,3,0,0
Idrissa Gueye,33,Midfielder,Everton,Senegal,33,0,2
?lkay G?ndo?an,32,Midfielder,Manchester City,Germany,31,6,3
Isaac Hayden,27,Midfielder,Newcastle United,England,25,1,4
Isaac Mbenza,26,Forward,Huddersfield Town,Belgium,22,1,1
Isaac Success,26,Forward,Watford,Nigeria,30,1,1
Issa Diop,25,Defender,West Ham United,France,33,1,0
Ivan Ricardo Neves Abreu Cavaleiro,29,Forward,Wolverhampton Wanderers,Portugal,23,3,1
Jack Cork,33,Midfielder,Burnley,England,37,1,2
Jack Simpson,25,Defender,AFC Bournemouth,England,6,0,0
Jack Stephens,28,Defender,Southampton,England,24,1,0
Jack Wilshere,30,Midfielder,West Ham United,England,8,0,1
Jacob Murphy,27,Midfielder,Newcastle United,England,9,0,1
Ja?ro Riedewald,26,Defender,Crystal Palace,Netherlands,0,0,0
Jamaal Lascelles,28,Defender,Newcastle United,England,32,0,1
James Garner,21,Defender,Manchester United,England,1,0,0
James Maddison,25,Midfielder,Leicester City,England,36,7,7
James McArthur,35,Midfielder,Crystal Palace,Scotland,38,3,6
James McCarthy,31,Midfielder,Everton,Republic of Ireland,1,0,0
James Milner,36,Midfielder,Liverpool,England,31,5,4
James Tarkowski,29,Defender,Burnley,England,35,3,1
James Tomkins,33,Defender,Crystal Palace,England,29,1,1
James Ward-Prowse,27,Midfielder,Southampton,England,26,7,0
Jamie Sterry,26,Defender,Newcastle United,England,0,0,0
Jamie Vardy,35,Forward,Leicester City,England,34,18,4
Jan Bednarek,26,Defender,Southampton,Poland,25,0,1
Jan Vertonghen,35,Defender,Tottenham Hotspur,Belgium,22,1,0
Jannik Vestergaard,30,Defender,Southampton,Denmark,23,0,0
Jason Puncheon,36,Midfielder,Huddersfield Town,England,11,0,0
Jason Steele,32,Goalkeeper,Brighton & Hove Albion,England,0,0,0
Javier Hernandez,34,Forward,West Ham United,Mexico,25,7,1
Javier Manquillo,28,Defender,Newcastle United,Spain,18,0,3
Jayson Molumby,23,Midfielder,Brighton & Hove Albion,Republic of Ireland,0,0,0
Jazz Richards,31,Defender,Cardiff City,Wales,4,0,0
Jean Michau00ebl Seri,31,Midfielder,Fulham,Ivory Coast,32,1,2
Jeff Hendrick,30,Midfielder,Burnley,Republic of Ireland,32,3,0
Jefferson Lerma,28,Midfielder,AFC Bournemouth,Colombia,30,2,0
Jeffrey Schlupp,29,Defender,Crystal Palace,Ghana,30,4,1
Jermain Defoe,40,Forward,AFC Bournemouth,England,4,0,0
Jesse Lingard,29,Midfielder,Manchester United,England,27,4,2
Jo?o Moutinho,36,Midfielder,Wolverhampton Wanderers,Portugal,38,1,8
Joe Bennett,32,Defender,Cardiff City,England,30,0,1
Joe Bryan,29,Defender,Fulham,England,28,0,1
Joe Daniel Tupper,24,Goalkeeper,Crystal Palace,England,0,0,0
Joe Gomez,25,Defender,Liverpool,England,16,0,0
Joe Hart,35,Goalkeeper,Burnley,England,19,0,0
Joe Powell,24,Forward,West Ham United,England,0,0,0
Joe Ralls,29,Midfielder,Cardiff City,England,28,0,0
Joel Coleman,27,Goalkeeper,Huddersfield Town,England,1,0,0
Joel Matip,31,Defender,Liverpool,Cameroon,22,1,0
Joel Ward,32,Defender,Crystal Palace,England,7,1,0
Johann Berg Gu©£munds¡©son,32,Midfielder,Burnley,Iceland,29,3,6
John Ruddy,36,Goalkeeper,Wolverhampton Wanderers,England,1,0,0
John Stones,28,Defender,Manchester City,England,24,0,0
Jon Gorenc Stankovi?,26,Defender,Huddersfield Town,Slovenia,11,1,0
Jonas L?ssl,33,Goalkeeper,Huddersfield Town,Denmark,31,0,1
Jonathan Hogg,33,Midfielder,Huddersfield Town,England,29,0,1
